# Age (1.0e+03yr)	Probability
8.07	5.7553491539783644e-05
8.075	7.28193443630489e-05
8.08	8.844196590838514e-05
8.085	0.0001024042564084658
8.09	0.00011604676263459344
8.095	0.00012706891565597298
8.1	0.0001377989409933568
8.105	0.00014748231763860405
8.11	0.00015642491809245398
8.115	0.000168558718621596
8.12	0.00018286568706126402
8.125	0.0002028094278056276
8.13	0.00022194192211206509
8.135	0.0002414969525031757
8.14	0.00026389272096563995
8.145	0.000283550490142349
8.15	0.0002967842289644037
8.155	0.00029987293542371263
8.16	0.00029987249064161053
8.165	0.00029843321310605436
8.17	0.0002986930428583696
8.175	0.00030479019074009455
8.18	0.000313014962328045
8.185	0.0003264693286240694
8.19	0.00034715635955958403
8.195	0.0003643275304755193
8.2	0.0003755501937186446
8.205	0.00038105661428840525
8.21	0.0003813485834481843
8.215	0.0003823172206061929
8.22	0.00038684314631494784
8.225	0.00040113630787206255
8.23	0.000422145109860951
8.235	0.00045622871818333126
8.24	0.000493611910025615
8.245	0.0005445159948189832
8.25	0.0005861330897224165
8.255	0.000618834569905661
8.26	0.0006503807361745765
8.265	0.0006691370959118951
8.27	0.0006803576567761303
8.275	0.0006955210342458794
8.28	0.0007055148769285032
8.285	0.0007188334771193055
8.29	0.0007315071871365089
8.295	0.0007618399907752148
8.3	0.0007923182079874131
8.305	0.0008266993381299822
8.31	0.0008464292359378628
8.315	0.000878523165979634
8.32	0.0009145535245043691
8.325	0.0009463408901534153
8.33	0.0009815176636904079
8.335	0.001019418206691505
8.34	0.0010554976167740297
8.345	0.0011069419620090937
8.35	0.0011613592045737824
8.355	0.0012167058945864084
8.36	0.0012835425208197581
8.365	0.0013645843126772147
8.37	0.0014662253062230188
8.375	0.00159043485146755
8.38	0.0017261872641071796
8.385	0.0018766020342286147
8.39	0.0020358251750900026
8.395	0.0021879710401553417
8.4	0.0023365198974757578
8.405	0.0024726567559846292
8.41	0.002586775231782596
8.415	0.002672432035602866
8.42	0.002760432575530936
8.425	0.0028099352392531836
8.43	0.002857435280456502
8.435	0.0029135221238639937
8.44	0.0029874818916080835
8.445	0.0030868893467431943
8.45	0.003215695941089642
8.455	0.0033732453378000735
8.46	0.0035822873059303878
8.465	0.003786359547564805
8.47	0.004008772187127282
8.475	0.0042022323536705704
8.48	0.004361360878101078
8.485	0.004457379368026186
8.49	0.004526317764803542
8.495	0.004547388984613295
8.5	0.004506766340253582
8.505	0.004441108818228866
8.51	0.0043812348091382455
8.515	0.004368442212996192
8.52	0.004415899516695035
8.525	0.004503973320102802
8.53	0.004654290435013972
8.535	0.0048444904777039475
8.54	0.00506875408549608
8.545	0.005328694007035525
8.55	0.00553397489385998
8.555	0.0057389931543019084
8.56	0.005920702832153034
8.565	0.006109840687764463
8.57	0.006318233360604676
8.575	0.0065099030705423255
8.58	0.006702242577450169
8.585	0.006942569691117352
8.59	0.007191450484787514
8.595	0.007453015616580594
8.6	0.00769760056613976
8.605	0.007899745299009052
8.61	0.008072160122233586
8.615	0.008197734036799178
8.62	0.008266560395780555
8.625	0.008291707788625749
8.63	0.00831952909377337
8.635	0.008363187663222383
8.64	0.008474723335239805
8.645	0.008620394660215793
8.65	0.008806356147008544
8.655	0.008988780059279331
8.66	0.009187805447436692
8.665	0.009385171751255231
8.67	0.009595143655548248
8.675	0.009788418060149306
8.68	0.010034524207286396
8.685	0.010319809917151798
8.69	0.010653008985816653
8.695	0.010989079411084611
8.7	0.011317516680753373
8.705	0.01162652010329405
8.71	0.011968225464474177
8.715	0.012269671234759279
8.72	0.012574380406236882
8.725	0.012842005590558654
8.73	0.013134884231399802
8.735	0.013431839078054576
8.74	0.013730696280969143
8.745	0.014018576596195955
