# Age (1.0e+03yr)	Probability
5.025	6.580230758566862e-06
5.03	9.0996047181998e-06
5.035	1.1294401911184322e-05
5.04	1.2582863517561591e-05
5.045	1.2582863517561591e-05
5.05	1.2169499992766426e-05
5.055	1.0711953207970719e-05
5.06	1.0113642091015507e-05
5.065	9.804927738108697e-06
5.07	1.0323447032719043e-05
5.075	1.0913730289967264e-05
5.08	1.164383602737623e-05
5.085	1.3108527482951785e-05
5.09	1.325618451714715e-05
5.095	1.2696945459251705e-05
5.1	1.2633016050648443e-05
5.105	1.2324301697741635e-05
5.11	1.318353736558213e-05
5.115	1.3612763304118906e-05
5.12	1.570291132521507e-05
5.125	1.8578864071819765e-05
5.13	2.232386184706703e-05
5.135	2.5742635151440545e-05
5.14	2.893601999391381e-05
5.145	3.305793308251559e-05
5.15	3.4937962869653775e-05
5.155	3.601661953432751e-05
5.16	3.5254511776595194e-05
5.165	3.4111925703318205e-05
5.17	3.3763256102424486e-05
5.175	3.319961169581484e-05
5.18	3.640206654044362e-05
5.185	4.118557539384982e-05
5.19	4.8217229849970867e-05
5.195	5.689789791723319e-05
5.2	6.752424157976001e-05
5.205	7.670979387047987e-05
5.21	8.242937514399691e-05
5.215	8.7619158483099e-05
5.22	8.868567604524565e-05
5.225	9.005331872018622e-05
5.23	8.865883715542943e-05
5.235	8.932306919467493e-05
5.24	9.004790512338907e-05
5.245	9.152066520327189e-05
5.25	9.58033385955643e-05
5.255	0.0001001517234251619
5.26	0.00010792636858942462
5.265	0.00011271093496029126
5.27	0.00011699019373190109
5.275	0.00011940765767349264
5.28	0.00012533632062885401
5.285	0.00012970446611591468
5.29	0.0001317077200995318
5.295	0.0001354564124572173
5.3	0.00013693868817819756
5.305	0.00014166531744575444
5.31	0.00014442372305566165
5.315	0.0001454230408851417
5.32	0.00014814020844584183
5.325	0.00014920690923753775
5.33	0.00015675645625254174
5.335	0.00016714254936082173
5.34	0.00017870643731012753
5.345	0.00018940518460815276
5.35	0.0002024793169250343
5.355	0.00021519141679946082
5.36	0.00021875483794307526
5.365	0.0002219022735286255
5.37	0.00021930622990541177
5.375	0.00021682777927714436
5.38	0.0002180413756446897
5.385	0.00022200433429308373
5.39	0.0002266663871315818
5.395	0.00024259555233175218
5.4	0.00025992452463368467
5.405	0.00028610403584587626
5.41	0.00030856118737505205
5.415	0.0003290473203747476
5.42	0.0003504037468122133
5.425	0.0003690060311946221
5.43	0.0003789763007408264
5.435	0.00038604499351793523
5.44	0.00039111482814063286
5.445	0.0003975821281307836
5.45	0.00039985345547461254
5.455	0.0004088981197043154
5.46	0.00041111801092822775
5.465	0.0004173236082686673
5.47	0.00042672460539432166
5.475	0.00043635260929874957
5.48	0.00044841910342986366
5.485	0.0004565257397483011
5.49	0.00047429932332874536
5.495	0.0004998466292331094
5.5	0.0005276287326599706
5.505	0.0005577056036630301
5.51	0.0005847431589214928
5.515	0.0006213699582023318
5.52	0.0006480519957124863
5.525	0.0006719548341821356
5.53	0.0006870605823409318
5.535	0.0006856880031931962
5.54	0.0006916363096751969
5.545	0.0006861303120234469
5.55	0.0006851943945053713
5.555	0.0006857793063629513
5.56	0.0006923735308223636
5.565	0.0007158916166920771
5.57	0.000748389519318185
5.575	0.000787812506152053
5.58	0.0008201355431350182
5.585	0.0008686964756669887
5.59	0.000917358731420746
5.595	0.0009683551627482119
5.6	0.0010175052598731579
5.605	0.001067235374913908
5.61	0.0011192640077000843
5.615	0.0011627065493963638
5.62	0.0012003564052271679
5.625	0.0012275869198757517
5.63	0.0012428188087085128
5.635	0.0012526882282964686
5.64	0.0012653495282107735
5.645	0.0012842033009361701
5.65	0.0013005504003250777
5.655	0.0013227643824381718
5.66	0.0013427650521762625
5.665	0.0013641937669796214
5.67	0.0013686897097948507
5.675	0.0013812689045411505
5.68	0.0013909403288458883
5.685	0.0014086412719582486
5.69	0.001443559615141882
5.695	0.0015018480251767503
5.7	0.001575416432381755
5.705	0.0016611972131168771
5.71	0.0017623788695227082
5.715	0.0018706358199158596
5.72	0.0019607361421463574
5.725	0.0020452465163241784
5.73	0.0021108859041673853
5.735	0.0021851222711782546
5.74	0.0022310891305232492
5.745	0.0022742291948509227
5.75	0.002300184114184732
5.755	0.0023283520238026345
5.76	0.0023589408320149
5.765	0.0024021123542859336
5.77	0.002457763527734961
5.775	0.0025291652482758013
5.78	0.0026368394158035402
5.785	0.002772757513282076
5.79	0.0029329501566163108
5.795	0.0030845239490408156
5.8	0.003225365178822101
5.805	0.0033483730370902033
5.81	0.003446416847541583
5.815	0.003532239331254065
5.82	0.003577388014524794
5.825	0.0036058808719329344
5.83	0.0036054269822990855
5.835	0.003579185153933517
5.84	0.003554977532294594
5.845	0.003516541859334398
5.85	0.0034979328516904695
5.855	0.003495089725351667
5.86	0.0035360612969095513
5.865	0.0036155379970288655
5.87	0.0037397796567780407
5.875	0.003883329075329365
5.88	0.004030767789194727
5.885	0.004168832446362355
5.89	0.004299303450300038
5.895	0.004416921584625211
5.9	0.004531862872451006
5.905	0.004623874724451025
5.91	0.004741423405915636
5.915	0.004873255539721599
5.92	0.005024390691937866
5.925	0.005220262994601371
5.93	0.005438918939880372
5.935	0.005691630328541129
5.94	0.005945497465494169
5.945	0.0062080302675687395
5.95	0.006456777071590448
5.955	0.006647843940175234
5.96	0.006837329645399264
5.965	0.006981380397562565
5.97	0.007073790736616429
5.975	0.007186515071189048
5.98	0.0072782667075898
5.985	0.007366716000105928
5.99	0.007478725501120752
5.995	0.0076057970667447695
6.0	0.00777569231259954
